Album Name;Release Date;Track Number;Track Name;Track Instrumental;Track Lyrics
Music of the Spheres (Digital Deluxe Edition);2021-10-18;10;My Universe;No;"You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe, and I

In the night, I lie and look up at you
When the morning comes, I watch you rise
There's a paradise they couldn't capture
That bright infinity inside your eyes
매일 밤 네게 날아가 (가)
꿈이란 것도 잊은 채
나 웃으며 너를 만나 (나)
Never-ending forever, baby

You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

어둠이 내겐 더 편했었지
길어진 그림자 속에서 (Eyes)
And they said that we can't be togethеr
Because, becausе we come from different sides

You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

My universe (Do-do, do-do)
My universe (Do-do, do-do)
My universe (Do-do, do-do)
(You make my world)
You make my world light up inside
Make my world light up inside"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;11;∞ (Infinity Sign);No;"Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Olé, olé, olé, olé, olé, olé
Spiritus sanc- ('Ritus sanc-)
'Ritus sanc-, (Sanc-) sanctum
Spiritus sanc- ('Ritus sanc-)
'Ritus sanc-, (Sanc-) sanctum
Spiritus sanc- ('Ritus sanc-)
'Ritus sanc-, (Sanc-) sanctum
Spiritus sanc- ('Ritus sanc-)
'Ritus sanc-, sanctum
Spiritus sanc ('Ritus sanc-)
'Ritus sanc-, sanctum
Spiritus sanc- ('Ritus sanc-)
-Ritus sanc-, sanctum"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;12;Coloratura;No;"Coloratura
We fell in through the clouds
And everyone before us is there, welcoming us now
It's the end of death and doubt
And loneliness is out
Coloratura
The place we dreamed about
The melodies inside yourself and love come pouring out
And everyone's allowed
We're feathered by the crowd
And up there in the heavеns
Galileo and those pining for the moon
Know it's a slow burn
Through Pioneer and Hеlix
Oumuamua, Heliopause and Neptune
We're a slow-burning tune
But we'll get there, so for now
In this crazy world, I do
I just want you

In the end, it's all about
The love you're sending out

And up there in the heavens
The explorers who've all gathered by balloon
Saw the world turn
Through Voyager, Callisto
Calliope, Betelgeuse, the Neon Moons
We're a slow-burning tune
But we'll touch down soon, so will you
And in this crazy world, I do
I just want you"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;13;Higher Power (Acoustic Version);No;"Three, two, one

Sometimes I just can't take it
Sometimes I just can't take it and it isn't alright
I'm not gonna make it
And I think my shoe's untied (Ooh-ooh)
I'm like a broken record
I'm like a broken record and I'm not playin' right
Drocer nekorb a ekil mi
'Til you tell me on your heavenly phone
To hold tight (Hold tight)
Come on (Come on), come on (Come on)
Oh-oh-oh, oh, oh, oh-oh
Come on (Come on), come on (Come on)
Yeah, don't let go oh, oh, oh-oh
Hold tight (Hold tight), hold tight (Hold tight)
Oh-oh-oh, oh, oh, oh-oh
""It's alright, it's alright"" you said
I've got my hands up shakin' just to let you know

That you've got a higher power
Got me singin' every sеcond, dancin' every hour
Oh yeah, you'vе got a higher power
And you're really someone I wanna know, ooh

This boy is electric
This boy is electric and you're sparklin' like the universe connected
And I'm buzzin' night after night after night (Oh-oh)
This joy is electric
This joy is electric and you're circuiting through
I'm so happy that I'm alive
Happy I'm alive at the same time as you"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;14;My Universe (Acoustic Version);No;"You (You), you are (You are) my universe
And I (I), just want (Just want) to put you first
And you (You), you are (You are) my universe, and I

In the night, I lie and look up at you
When the morning comes, I watch you rise
There's a paradise they couldn't capture
That bright infinity inside your eyes
매일 밤 네게 날아가 (가)
꿈이란 것도 잊은 채
나 웃으며 너를 만나 (나)
Never ending forever, baby

You (You), you are (You are) my universe
And I (I), just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

어둠이 내겐 더 편했었지
길어진 그림자 속에서 (Eyes)
And they said that we can't be togethеr
Because, becausе we come from different sides

You (You), you are (You are) my universe
And I (I), just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

My universe (Do-do, do-do)
My universe (Do-do, do-do)
My universe (Do-do, do-do)
(I)
(You make my world)
You make my world light up inside
Make my world light up inside"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;15;My Universe (Supernova 7 Mix);No;"You, you are my universe
And I, just want to put you first
You, you are my universe
And you make my world light up inside

In the night, I lie and look up at you
When the morning comes, I watch you rise
There's a paradise they couldn't capture
That bright infinity inside your eyes
매일 밤 네게 날아가
꿈이란 것도 잊은 채
나 웃으며 너를 만나
Never ending forever, baby

You (You), you are (You are) my universe
And I (I), just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside
You, you are
I, just want

어둠이 내겐 더 편했었지
길어진 그림자 속에서
And they said that we can't be together
Because, because we come from different sides

You (You), you are (You are) my universe
And I (I), just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;16;My Universe (SUGA’s Remix);No;"You, you are my universe
And I, just want to put you first
And you, you are my universe, and I

In the night, I lie and look up at you
When the morning comes, I watch you rise
There's a paradise they couldn't capture
That bright infinity inside your eyes
매일 밤 네게 날아가 (가)
꿈이란 것도 잊은 채
나 웃으며 너를 만나 (나)
Never-ending forever, baby

You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

어둠이 내겐 더 편했었지
길어진 그림자 속에서
And they said that we can't be together
Because, because we come from different sides

You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

My universe
(Do-do, do-do)
You are, you are, you are, my universe
(Do-do, do-do)
You are, you are, put you first
(Do-do, do-do)
You are, you are, you are, my universe
You make my world light up inside
Make my world light up inside"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;17;My Universe (Orchestral Mix);Yes;
Music of the Spheres;2021-10-15;1;⦵ (Music of the Spheres);No;Music of the spheres
Music of the Spheres;2021-10-15;2;Higher Power;No;"Three, two, one

Sometimes I just can't take it
Sometimes I just can't take it and it isn't alright
I'm not gonna make it
And I think my shoe's untied (Ooh-ooh)
I'm like a broken record
I'm like a broken record and I'm not playin' right
Drocer nekorb a ekil mi
'Til you tell me on your heavenly phone
To hold tight (Hold tight)
Come on (Come on), come on (Come on)
Oh-oh-oh, oh, oh, oh-oh
Come on (Come on), come on (Come on)
Yeah, don't let go, oh, oh, oh-oh
Hold tight (Hold tight), hold tight (Hold tight)
Oh-oh-oh, oh, oh, oh-oh
""It's alright, it's alright"", you said
I've got my hands up shakin' just to let you know

That you've got a higher power
Got me singin' every sеcond, dancin' every hour
Oh yeah, you'vе got a higher power
And you're really someone I wanna know, ooh

This boy is electric
This boy is electric and you're sparklin' like the universe connected
And I'm buzzin' night after night after night (Oh-oh)
This joy is electric
This joy is electric and you're circuiting through
I'm so happy that I'm alive
Happy I'm alive at the same time as you"
Music of the Spheres;2021-10-15;3;Humankind;No;"Ten, nine, eight, seven, six, five, four, three, two, one

Today I heard the strangest
I heard the strangest song
(Oh, oh, oh-oh, oh, oh-oh)
(Oh, oh, oh-oh, oh, oh-oh)
A DJ a star away is
Playing it to turn us on
(Oh, oh, oh-oh, oh, oh-oh)
(Oh, oh, oh-oh, oh, oh-oh)
My heart started glowing
I feel it inside, it's flowing

I say, I know, I know, I know
We're only human
I know, I know, I know
How we're designed, yeah
Oh, I know, I know, I know
We're only human
But from another planet
Still they call us humankind

Today I had the strangest
Feeling that I belong
(Oh, oh, oh-oh, oh, oh-oh)
(Oh, oh, oh-oh, oh, oh-oh)

Before I was dying
I feel it inside, now I'm flying

I say, I know, I know, I know
We're only human
I know, I know, I know
How we're designed, yeah
Oh, I know, I know, I know
We'rе only human
But from another planet
Still they call us humankind"
Music of the Spheres;2021-10-15;4;*✧ (Alien Choir);Yes;
