Album ID;Album Name;Release Date;Track Name;Disc Number;Track Number;Artist Names;Popularity;Explicit;Duration;Loudness;Tempo;Key;Mode;Time Signature;Danceability;Energy;Speechiness;Acousticness;Instrumentalness;Liveness;Valence
6LRAUvjNMdUieHc8RcpHQU;Everglow;2016-11-10;Everglow - Edit;1;1;Coldplay;66;No;03:47;-8.467;144.479;E;Major;4/4;0.425;0.257;0.0321;0.968;0.0181;0.115;0.341
6LRAUvjNMdUieHc8RcpHQU;Everglow;2016-11-10;Everglow;1;2;Coldplay;50;No;05:01;-8.963;77.467;E;Major;4/4;0.385;0.259;0.041;0.969;0.0121;0.116;0.312
46ElgN92j4wktUnUkxUFKR;Up&Up (Freedo Remix);2016-09-16;Up&Up - Freedo Remix;1;1;Coldplay/Freedo;43;No;03:30;-5.947;97.984;G;Major;4/4;0.806;0.657;0.0689;0.103;0.00294;0.126;0.289
39CemyWzo6fJbvbAyICDrj;Up&Up;2016-04-22;Up&Up;1;1;Coldplay;49;No;03:58;-5.385;81.944;G;Major;4/4;0.534;0.734;0.072;0.124;2.45e-05;0.231;0.284
6HtLkpRPDhS1wUcDzE50hd;Adventure of a Lifetime (Yotto Remix);2016-03-28;Adventure of a Lifetime - Yotto Remix;1;1;Coldplay/Yotto;32;No;03:49;-6.566;121.997;G;Major;4/4;0.587;0.806;0.0359;0.00276;0.0415;0.212;0.0646
0ezwRysfWCrR5tDgpBwkIw;Hymn for the Weekend (Seeb Remix);2016-03-25;Hymn for the Weekend - Seeb Remix;1;1;Coldplay/Seeb;68;No;03:32;-3.516;102.034;C;Minor;4/4;0.565;0.849;0.0517;0.00868;4.68e-06;0.12;0.427
1TbYQD52H9tKtZine3mHHJ;Adventure of a Lifetime (Matoma Remix);2015-12-03;Adventure of a Lifetime - Matoma Remix;1;1;Coldplay/Matoma;47;No;04:10;-6.541;112.015;A;Minor;4/4;0.651;0.771;0.0313;0.00381;1.71e-05;0.238;0.456
0TWPnJaGqeZB6bfdAcsfIj;Adventure of a Lifetime;2015-11-06;Adventure of a Lifetime;1;1;Coldplay;57;No;04:23;-3.887;111.995;G;Major;4/4;0.638;0.924;0.036;0.00205;0.000175;0.149;0.53
0CvMcLab5Xb0KL7gsQfhhv;A Sky Full of Stars (Hardwell Remix);2014-12-01;A Sky Full of Stars - Hardwell Remix;1;1;Coldplay/Hardwell;52;No;05:13;-4.491;127.998;D♯/E♭;Minor;4/4;0.652;0.657;0.0306;0.00209;7.04e-05;0.0859;0.0873
5TJzsFUF2RUzrje51UmkhG;True Love (Davide Rossi Remix);2014-12-01;True Love - Davide Rossi Remix;1;1;Coldplay/Davide Rossi;33;No;04:41;-8.107;120.1;F♯/G♭;Major;4/4;0.444;0.477;0.0324;0.686;0.103;0.105;0.175
4HVHqL4eLFnDleC56Y2x2T;Ink (Live at Le Casino De Paris, Paris);2014-10-20;Ink - Live at Le Casino De Paris, Paris;1;1;Coldplay;31;No;04:09;-7.147;112.025;F♯/G♭;Major;4/4;0.584;0.735;0.0395;0.00645;0.433;0.958;0.345
5WBIRgdTtnf2cYfoSHSLEb;True Love;2014-08-14;True Love;1;1;Coldplay;43;No;04:06;-7.963;119.994;B;Major;4/4;0.482;0.574;0.028;0.00382;0.08;0.123;0.184
2jQB4YEh4xWhloG21IueUf;A Sky Full of Stars;2014-06-29;A Sky Full of Stars;1;1;Coldplay;66;No;03:56;-7.132;125.005;F♯/G♭;Major;4/4;0.559;0.632;0.028;0.0148;0.00115;0.16;0.258
2jQB4YEh4xWhloG21IueUf;A Sky Full of Stars;2014-06-29;All Your Friends;1;2;Coldplay;41;No;03:31;-12.177;74.98;F♯/G♭;Minor;4/4;0.507;0.317;0.0283;0.183;0.124;0.112;0.201
2jQB4YEh4xWhloG21IueUf;A Sky Full of Stars;2014-06-29;Ghost Story;1;3;Coldplay;44;No;04:17;-7.941;122.005;G;Major;4/4;0.595;0.638;0.0307;0.104;0.000821;0.0699;0.51
2jQB4YEh4xWhloG21IueUf;A Sky Full of Stars;2014-06-29;O - Reprise;1;4;Coldplay;40;No;01:37;-11.975;107.019;A♯/B♭;Major;4/4;0.201;0.327;0.0285;0.869;0.846;0.117;0.0945
7tI4UrXr27WbduHuVJlCp5;Midnight (Kygo Remix);2014-06-09;Midnight - Kygo Remix;1;1;Coldplay/Kygo;53;No;05:16;-12.845;124.989;B;Minor;4/4;0.713;0.368;0.0487;0.612;0.323;0.0886;0.22
62TTFY17j9p0BgEBI3DHTb;Midnight (Jon Hopkins Remix);2014-05-12;Midnight - Jon Hopkins Remix;1;1;Coldplay/Jon Hopkins;41;No;10:05;-9.513;126.999;A♯/B♭;Minor;4/4;0.708;0.836;0.0605;0.0267;0.853;0.0475;0.0481
32aC9I2Vt9HgIOS2v0eHoZ;Midnight;2014-04-29;Midnight;1;1;Coldplay;38;No;04:54;-12.42;126.976;C♯/D♭;Major;4/4;0.548;0.475;0.0355;0.615;0.808;0.0944;0.0349
5pUVbNp8AeHd6Vt8bJWShA;Midnight (Giorgio Moroder Remix);2014-04-21;Midnight - Giorgio Moroder Remix;1;1;Coldplay/Giorgio Moroder;36;No;08:37;-10.302;127.009;C♯/D♭;Major;4/4;0.585;0.694;0.0314;0.000414;0.793;0.0785;0.483
4cCfFozyo6JC8acN8uIP7u;Magic;2014-03-03;Magic;1;1;Coldplay;59;No;04:45;-8.917;93.457;F♯/G♭;Minor;4/4;0.738;0.482;0.0402;0.0266;0.621;0.106;0.352
1aJ1PDNjC6ZzEu74BkmGE4;Atlas (From “The Hunger Games: Catching Fire” Soundtrack);2013-01-01;Atlas - From “The Hunger Games: Catching Fire” Soundtrack;1;1;Coldplay;52;No;03:56;-7.736;136.4;B;Major;4/4;0.28;0.449;0.0292;0.638;0.701;0.105;0.103
3yddXawPNWK9qUDqB2UMY7;Princess of China;2012-06-01;Princess of China - Radio Edit;1;1;Coldplay/Rihanna;54;No;03:37;-5.918;85.025;A;Minor;4/4;0.402;0.7;0.0361;0.00171;0.00641;0.191;0.314
3yddXawPNWK9qUDqB2UMY7;Princess of China;2012-06-01;Princess of China - Invisible Men Remix;1;2;Coldplay/Rihanna;39;No;03:46;-8.072;121.735;D;Major;5/4;0.475;0.687;0.0802;0.0395;0.00313;0.241;0.433
3yddXawPNWK9qUDqB2UMY7;Princess of China;2012-06-01;Paradise - Tiësto Remix;1;3;Coldplay/Tiësto;53;No;04:46;-6.003;130.015;D;Minor;4/4;0.637;0.736;0.0404;0.0123;0.14;0.0798;0.643
3yddXawPNWK9qUDqB2UMY7;Princess of China;2012-06-01;Princess of China - Acoustic;1;4;Coldplay/Rihanna;52;No;03:26;-7.952;165.996;A;Minor;4/4;0.245;0.471;0.0313;0.652;0.00717;0.126;0.287
5O8q5vQVJIaCuDpC01AtaP;Princess of China [Radio Edit];2012-04-13;Princess of China - Radio Edit;1;1;Coldplay/Rihanna;29;No;03:37;-5.918;85.025;A;Minor;4/4;0.402;0.7;0.0361;0.00171;0.00641;0.191;0.314
1oXauHeoAxhtOFX82nlun7;Every Teardrop Is a Waterfall;2011-06-26;Every Teardrop Is a Waterfall;1;1;Coldplay;38;No;04:03;-6.994;118.025;A;Major;4/4;0.431;0.739;0.0387;0.00152;0.00249;0.0968;0.329
1oXauHeoAxhtOFX82nlun7;Every Teardrop Is a Waterfall;2011-06-26;Major Minus;1;2;Coldplay;30;No;03:30;-5.318;115.535;E;Minor;4/4;0.44;0.689;0.0345;0.000143;0.871;0.666;0.373
1oXauHeoAxhtOFX82nlun7;Every Teardrop Is a Waterfall;2011-06-26;Moving to Mars;1;3;Coldplay;40;No;04:18;-10.797;142.657;G♯/A♭;Major;4/4;0.263;0.315;0.03;0.0217;0.163;0.109;0.196
06CvxUVwS8h2aJYcCtApgy;Christmas Lights;2010-12-01;Christmas Lights;1;1;Coldplay;56;No;04:02;-9.146;129.116;G;Major;4/4;0.315;0.418;0.0299;0.131;0.000679;0.0836;0.237
5JyRcNcdZ8uf5vGH4b6ljZ;Strawberry Swing;2009-09-11;Strawberry Swing;1;1;Coldplay;42;No;04:09;-10.457;173.12;C♯/D♭;Major;4/4;0.195;0.669;0.0601;0.00804;0.788;0.238;0.428
58va4HhwMY2cXFuqdhXOMQ;Life in Technicolor ii;2009-02-21;Life in Technicolor ii;1;1;Coldplay;14;No;04:05;-7.06;131.052;A;Major;4/4;0.473;0.91;0.0391;0.00159;5.29e-05;0.248;0.293
58va4HhwMY2cXFuqdhXOMQ;Life in Technicolor ii;2009-02-21;Life in Technicolor ii - Live at the O2, London;1;2;Coldplay;9;No;03:36;-8.113;131.271;A;Major;4/4;0.399;0.914;0.042;0.000281;0.0266;0.98;0.319
58va4HhwMY2cXFuqdhXOMQ;Life in Technicolor ii;2009-02-21;The Goldrush;1;3;Coldplay;12;No;02:29;-9.991;135.282;F;Major;4/4;0.56;0.627;0.0333;0.654;0.365;0.08;0.937
3J6zaHMhIAWJtxhWpOdLBZ;Lost!;2008-11-07;Lost!;1;1;Coldplay;34;No;03:55;-7.464;174.001;G;Major;4/4;0.223;0.839;0.0587;0.00604;0.844;0.358;0.377
3J6zaHMhIAWJtxhWpOdLBZ;Lost!;2008-11-07;Lost?;1;2;Coldplay;41;No;03:42;-12.016;80.551;G;Major;4/4;0.492;0.31;0.0258;0.95;0.00144;0.105;0.243
